"","x"
"1","1:24078411"
"2","16:1370597"
"3","23:31697636"
"4","11:65685051"
"5","3:52584433"
"6","1:148267906"
"7","9:138441690"
"8","9:17135277"
"9","15:90631934"
"10","15:90631838"
"11","15:90631839"
"12","9:33385852"
"13","9:33385786"
"14","11:1941946"
"15","11:14730333"
"16","8:17612846"
"17","22:32586926"
"18","17:7577108"
"19","17:7578457"
"20","17:7577539"
"21","17:7577067"
"22","17:7578539"
"23","17:7578406"
"24","17:7578437"
"25","17:7578236"
"26","17:7577547"
"27","17:7574012"
"28","17:7577524"
"29","17:7577124"
"30","17:7577046"
"31","17:7577544"
"32","17:7577548"
"33","17:7578211"
"34","17:7578479"
"35","17:7577082"
"36","17:7577121"
"37","17:7577534"
"38","17:7574003"
"39","17:7577146"
"40","17:7574026"
"41","17:7577102"
"42","17:7578265"
"43","17:7578391"
"44","17:7578239"
"45","17:7578419"
"46","17:7578290"
"47","17:7577559"
"48","17:7577106"
"49","17:7578203"
"50","17:7577120"
"51","17:7577141"
"52","17:7578448"
"53","17:7577093"
"54","17:7577535"
"55","17:7577061"
"56","17:7578526"
"57","17:7577091"
"58","17:7578212"
"59","17:7578235"
"60","17:7577543"
"61","17:7577538"
"62","17:7578440"
"63","17:7578271"
"64","17:7577566"
"65","17:7579349"
"66","17:7576897"
"67","17:7574004"
"68","17:7579528"
"69","17:7578400"
"70","17:7579358"
"71","17:7578208"
"72","17:7577105"
"73","17:7578259"
"74","17:7577094"
"75","17:7577580"
"76","17:7577022"
"77","17:7578535"
"78","17:7578431"
"79","17:7577520"
"80","17:7574002"
"81","17:7578413"
"82","17:7577114"
"83","17:7578263"
"84","17:7574000"
"85","17:7579359"
"86","17:7577609"
"87","17:7578555"
"88","17:7577506"
"89","17:7578403"
"90","17:7578433"
"91","17:7578524"
"92","17:7577070"
"93","17:7577142"
"94","17:7578538"
"95","17:7578458"
"96","17:7577018"
"97","17:7578395"
"98","17:7579415"
"99","17:7577518"
"100","17:7578415"
"101","17:7577127"
"102","17:7577130"
"103","17:7578388"
"104","17:7579311"
"105","13:50235160"
"106","21:40013225"
"107","21:40006081"
"108","21:40021851"
"109","21:39982340"
"110","1:204924038"
"111","1:11188164"
"112","11:77920863"
"113","2:206305364"
"114","12:122812709"
"115","12:122845698"
"116","8:145661320"
"117","12:121432125"
"118","2:238295674"
"119","12:50745858"
"120","12:50746672"
"121","12:50745783"
"122","19:19260045"
"123","4:106196213"
"124","4:106157845"
"125","4:106196252"
"126","23:135956408"
"127","1:109560147"
"128","19:8389898"
"129","11:47640398"
"130","7:143826573"
"131","22:23523630"
"132","15:78908032"
"133","21:46020668"
"134","5:140255890"
"135","4:1803564"
"136","4:1803568"
"137","4:1806099"
"138","6:30864829"
"139","11:123886550"
"140","6:170871040"
"141","6:170871061"
"142","6:170871010"
"143","11:88337977"
"144","19:33792389"
"145","19:33792381"
"146","5:67588951"
"147","5:67591106"
"148","11:66392701"
"149","6:160769811"
"150","18:77171461"
"151","15:45364534"
"152","4:109803752"
"153","1:226252135"
"154","19:10935797"
"155","17:78896529"
"156","8:95690579"
"157","5:843815"
"158","5:172578619"
"159","19:54746380"
"160","14:39784014"
"161","17:44630848"
"162","16:85682297"
"163","23:41084383"
"164","16:67912920"
"165","22:30051652"
"166","22:30067836"
"167","14:100758978"
"168","1:155926265"
"169","12:81769580"
